canonical_cost_code,package_name,discipline,current_budget,known_alias,notes
1000,Site Development,Civil,"$25,000,000",,
2000,Structural & Building Shell,Structural,"$60,000,000",,
3000,Electrical Systems,Electrical,"$110,000,000",,
4000,Mechanical & Cooling,Mechanical,"$90,000,000",,
5000,Generation Equipment,Power,"$70,000,000",GEN-5000,Normalize alias to 5000
6000,UPS & Battery Systems,Electrical,"$45,000,000",,
7000,Controls & BMS,Controls,"$20,000,000",,
8000,Security Systems,Security,"$10,000,000",,
9000,Testing & Commissioning,Commissioning,"$25,000,000",,
10000,General Conditions,General,"$15,000,000",,
11000,Design & Engineering,Design,"$10,000,000",,
12000,Owner Contingency,Contingency,"$20,000,000",,
