cost_code,package,current_budget,commitments,actual_cost,forecast_to_complete,reported_eac,reported_vac,management_commentary
1000,Site Development,"$25,000,000","$19,000,000","$12,000,000","$10,500,000","$22,500,000","$2,500,000",On track
2000,Structural & Building Shell,"$60,000,000","$52,000,000","$28,000,000","$29,000,000","$57,000,000","$3,000,000",Steel escalation absorbed
3000,Electrical Systems,"$110,000,000","$98,000,000","$35,000,000","$69,000,000","$104,000,000","$6,000,000",Procurement progressing
4000,Mechanical & Cooling,"$90,000,000","$80,000,000","$32,000,000","$51,000,000","$83,000,000","$7,000,000",Design coordination ongoing
5000,Generation Equipment,"$70,000,000","$63,000,000","$15,000,000","$52,000,000","$67,000,000","$3,000,000",Vendor award complete
6000,UPS & Battery Systems,"$45,000,000","$42,000,000","$8,000,000","$35,000,000","$43,000,000","$2,000,000",Procurement in progress
7000,Controls & BMS,"$20,000,000","$14,000,000","$5,000,000","$12,000,000","$17,000,000","$3,000,000",No major concerns
8000,Security Systems,"$10,000,000","$7,000,000","$2,000,000","$6,000,000","$8,000,000","$2,000,000",Scope validation pending
9000,Testing & Commissioning,"$25,000,000","$8,000,000","$1,000,000","$21,000,000","$22,000,000","$3,000,000",Early planning
10000,General Conditions,"$15,000,000","$12,000,000","$7,000,000","$7,000,000","$14,000,000","$1,000,000",Tracking to plan
11000,Design & Engineering,"$10,000,000","$9,000,000","$6,500,000","$3,000,000","$9,500,000","$500,000",Close to complete
12000,Owner Contingency,"$20,000,000",$0,$0,$0,$0,"$20,000,000",Held centrally
TOTAL,PROJECT TOTAL,"$500,000,000","$404,000,000","$151,500,000","$295,500,000","$447,000,000","$53,000,000",
